<unk>	UNKNOWN
Mi padre es muy nervioso, fuerte y musculoso. Es moreno y con el pelo muy negro y muy corto, y también tiene mucha barba negra.	 PAPÁ NERVIOSO, FUERTE, MORENO, PELO NEGRO \cl{pelo corto}, BARBA NEGRO.
Mi madre es muy tranquila, delgada y con la cara alargada, tiene los ojos azules, el pelo rubio y así de largo.	 MAMÁ TRANQUILO, DELGADO, \cl{cara alargada}, OJOS AZUL, PELO RUBIO \cl{melena corta}.
Nosotros dos somos hermanos, él es oyente, muy tímido y vergonzoso. Es muy alto y con el pelo negro y muy rizado. Tiene pecas.	NOSOTROS 2 HERMANO, ÉL OYENTE, TÍMIDO, VERGONZOSO, ALTO PELO NEGRO \cl{pelo rizado} PECOSO.
Son mis abuelos, los padres de mi padre.	ELLOS-DOS ABUELO HOMBRE AMO PAP
Mi abuela ya se murió.	ABUELO MUJER MUERTO
Mi abuelo es bajito, gordo y gracioso. Es un poco calvo, con el pelo blanco por los lados, y un bigote muy grande.	ABUELO HOMBRE BAJO, GORDO GRACIOSO, CALVO, PELO BLANCO \cl{bigote muy grande}.
Mi tía, la hermana de mi madre, es muy buena, tranquila, de estatura normal, con gafas y la nariz puntiaguda.	TÍO MUJER MAMÁ AMO 2 HERMANO. TÍO BUENO, TRANQUILO, ALTURA-NORMAL, GAFAS, NARIZ \cl{nariz puntiaguda}.
Ella estaba casada pero se separaron, y ahora tiene un nuevo novio y ha tenido un hijo con él.	TÍO ESPOSO, 2 SEPARADO. AHORA TÍO NOVIO OTRO JUNTOS HIJO.
El hijo de mi tía es mi primo. Es bastante travieso, muy guapo, rubio y con el pelo de punta. Tiene los ojos verdes y la boca grande.	YO TÍO HIJO NOSOTROS 2 PRIMO, TRAVIESO, GUAPO, PELO RUBIO, \cl{pelos de punta}, OJOS VERDE, BOCA \cl{labios grandes}.
Hola, en la última semana de este mes de septiembre, es la fiesta del día mundial de las personas sordas que se celebra todos los años.	HOLA, HOY MES SEPTIEMBRE ÚLTIMO ÚLTIMA-SEMANA FIESTA DÍA MUNDIAL SORDOS MOTIVO SORDO TODOS-LOS-AÑOS ENCUENTRO \cl{mucha gente}.
¿Qué haces?	HACER?
He perdido mi lápiz.	LÁPIZ PERDIDO
¿De qué color es?	COLOR?
Estoy contento porque mi profesor me ha dado un caramelo. Está muy bueno, es de fresa... ¿Qué? Mi profesor me llama, adiós.	YO CONTENTO MOTIVO PROFESOR CARAMELO DAR A-MI ESTE MUY-RICO, SABOR CUÁL? FRESA. ESTE QUÉ? PROFESOR LLAMAR A-MI. ADIÓS.
¿Qué es esto? ¡Es un caramelo! Con sabor a fresa ¡qué contento estoy!	ESTO QUÉ? CARAMELO! SABOR FRESA YO CONTENTO!
Mario no encuentra el caramelo, ha desaparecido. Vamos a pensar en cómo se sentirá Mario: ¿contento, triste, emocionado, enfadado, nervioso, alegre...? ¿Cómo se siente?	MARIO CARAMELO ENCONTRAR NO DESAPARECIDO, NOSOTROS PENSAR MARIO SENTIR CÓMO? CONTENTO TRISTE EMOCIONADO ENFADADO NERVIOSO ALEGRE O CUÁL?
Hace mucho tiempo yo vivía en un castillo, era una princesa pero estaba muy aburrida.	HACE-MUCHO-TIEMPO YO VIVIR CASTILLO, YO PRINCESA, ABURRIDO
¿Que si soy un pájaro? No, no soy un pájaro ni tengo alas para volar y tampoco plumas.	PÁJARO YO? VOLAR NO! PLUMAS HABER NO
Vivo en un lugar donde hace mucho frío.	YO VIVIR DÓNDE? MUCHO-FRÍO
Visto muy elegante, con una camisa blanca y una chaqueta negra.	ROPA ELEGANTE CAMISA COLOR BLANCO CHAQUETA COLOR NEGRO
Soy un poco patoso al andar.	YO ANDAR PERFECTO? NO
Hay muchas...	MUCHAS.
Sí muchas...	SÍ MUCHAS.
Ahora me toca a mí, ¡eh!	AHORA TOCAR YO.
Bueno. A ver...	TÚ? BUENO. A-VER.
¿Cuál cojo? Esta no. ¿Esta te parece bien?	CUÁL?, ESTA NO. ESTA?
Vale. ¿A ver qué hay dentro?	ESTA? VALE, A-VER.
No, espera. ¡Hala!.	ESPERAR. NO. VER-LA-CAJA NO. ESPERAR. ESTA?
¿Qué es?	QUÉ-HAY?
Es la lengua estrecha y un poquito hacia afuera. Por ejemplo para hacer "casa pequeñita", o "reloj muy pequeño".	LENGUA ESTRECHO LENGUA \cl{la lengua estáun poquito hacia afuera}. EJEMPLO CASA PEQUEÑITA,RELOJ MUY-PEQUEÑO.
Muy bien. Perfecto. Ahora me toca a mí.	MUY-BIEN. PERFECTO. YO++.
Sí, te toca a ti.	SÍ.TOCAR TÚ.
A ver cuál cojo...¡ésta! ¿Vale?	YO++. ESTA? ESTA!
Sí, esa. ¿Qué es?	SÍ. ESA, QUÉ?
Muy bien.	MUY-BIEN.
Sí, muy bien.	BIEN!
Ahora me toca a mí.	AHORA YO TOCAR YO.
Sí. Te toca.	TÚ.
¿Ésta?	ESTA?
Sí, ésa. A ver qué hay.	ESPERAR, QUÉ?.
¿Qué hay?	QUÉ?.
Otro ejemplo...	OTRO MÁS?
Ese ejemplo está muy bien. Mejor ahora me toca a mí.	MUY-BIEN. YO++.
Vale, te toca.	BIEN, TOCAR TÚ.
Esta.	ESTA?
Vale.	SÍ.
¿Qué es?	QUÉ?
Es verdad.	SÍ, VERDAD.
¡Muy bien!	MUY-BIEN.
Sí.	SÍ.
Me toca a mí. ¡Ésta!	AHORA TOCAR YO++, ESTA!.
Sí, esta. A ver...	ESTA? SÍ.
Espera. ¡Ah! Inflando las mejillas. Por ejemplo... "fuerte viento".	ESPERAR, \cl{Inflarlas mejillas}. EJEMPLO \cl{fuerte viento}.
Muy bien.	MUY-BIEN.
Sí, bien. Te toca.	BIEN. TÚ.
Sí, me toca. Elijo ésta.	YO++, ESTA?.
Sí, ésta. A ver qué hay.	SÍ. A-VER QUÉ?.
Es "lala". Voy a pensar un ejemplo...	\dl{LALA}. EJEMPLO?
Un ejemplo...	EJEMPLO?
"Muy lejos".	MUY-LEJOS.
Sí, es verdad.	VERDAD.
"Signarmucho" es verdad.	SIGNAR-MUCHO. VERDAD++.
Me toca a mí.	AHORA TOCAR YO++.
Sí, te toca. ¿Cuál quieres?	TÚ. ESTA?
Esta.	ESTA.
Sí esa. ¿Qué hay?, ¿qué hay?	ESA? A-VER!.
Espera. Lo miro yo primero. ¿Sabes qué es?	ESPERAR, YO PRIMERO. QUÉ?
Ah sí. Vocalizar "po", a ver un ejemplo.	\dl{PO} A-VER, VENGA.
Por ejemplo... "destacar".	EJEMPLO DESTACAR.
Otro ejemplo... "perder".	OTRO EJEMPLO, PERDER?
Perfecto, muy bien.	PERFECTO! MUY-BIEN.
Me toca.	TOCAR A-MI YO?
Sí, te toca a ti.	TÚ++.
¡Qué bien! A ver, esta no.	QUÉ-BIEN! ESTA? NO!
¿Esa? Vale. Dime. ¿Qué es?	ESA? VALE. DECIR A-MI?. QUÉ?
Esperar mucho tiempo.	ESPERAR-MUCHO.
Sí, "esperar mucho tiempo".	SÍ, VERDAD. ESPERAR-MUCHO.
Llueve mucho.	LLOVER-MUCHO.
Perfecto.	PERFECTO!
Muy bien. Ahora tú, ahora tú.	MUY-BIEN! TÚ++.
Ahora yo... Siemprelo olvido. ¿Cuál de estas dos?	YO AHORA TOCAR YO, SIEMPRE OLVIDAR++. ESTA++?
¿Esta? Vale.	ESTA? ESTA!
Muy bien. ¿Qué hay?	BIEN. A-VER?
Por ejemplo... Ya sé. Mira allí: "estatua".	EJEMPLO, ALLÍ ESTATUA ALLÍ.
¡Perfecto!	PERFECTO!
Perfecto. Muy bien.	PERFECTO, MUY-BIEN.
¿Ahora yo?	YO?.
Sí, ahora tú.	TÚ SÍ.
¿Ésta?	ESTA?.
Sí, ésa, por ejemplo.	ESA? SI.
Hay muchos.	MUCHA VARIEDAD, ESTAS.
¡Sí! ¡Muchos!	ESTAS, MUCHAS.
El tío de Ana se ha comprado un Mercedes.	ANA TÍO HOMBRE COCHE MERCEDES COMPRAR.
El tío de Ana no se ha comprado un Mercedes.	ANA TÍO HOMBRE COCHE MERCEDES COMPRAR NO.
¿El tío de Ana se ha comprado un Mercedes?.	ANA TÍO HOMBRE COCHE MERCEDES COMPRAR?
Creo que el tío de Ana se ha comprado un Mercedes.	ANA TÍO HOMBRE COCHE MERCEDES COMPRAR.
¡El tío de Ana se ha comprado un Mercedes!	ANA TÍO HOMBRE COCHE MERCEDES COMPRAR!
¿Conocéis el cuento de los tres cerditos?	CUENTO 3 CERDO CONOCER VOSOTROS?
La configuración del signo de cerdito es enforma de "c", otra configuración es con la mano en forma de "garra". Usando estas dos configuraciones sale un cuento gracioso, os lo voy a contar.	CERDO SIGNO CONFIGURACIÓN CERDO \dl{C} , OTRA CONFIGURACIÓN \cl{mano en forma de garra} RELACIONAR, GRACIOSO AHORA CONTAR A-TI.
Con el mes de septiembre para muchos estudiantes comienza una nueva y desafiante etapa en su vida: la entrada en la Universidad.	TOCA MES SEPTIEMBRE PERSONA+ ESTUDIANTE+ EMPEZAR ÉPOCA ESPECIAL VIDA SU, ENTRAR UNIVERSIDAD.
En el mes de septiembre los estudiantes empiezan una época especial de su vida, la entrada en la universidad.	TOCA MES SEPTIEMBRE PERSONA+ ESTUDIANTE+ EMPEZAR ÉPOCA ESPECIAL VIDA SU, ENTRAR UNIVERSIDAD.
Casi la mitad de los estudiantes de la Universidad de Sevilla vienen de los pueblos de la provincia y de otras ciudades andaluzas.	CASI MITAD PERSONA+ ESTUDIANTE+ UNIVERSIDAD SEVILLA VENIR DÓNDE?, PUEBLO SU, PROVINCIA SEVILLA O PROVINCIA OTRO.
Casi la mitad de los estudiantes de la Universidad de Sevilla vienen de los pueblos de su provincia o de otras provincias.	CASI MITAD PERSONA+ ESTUDIANTE+ UNIVERSIDAD SEVILLA VENIR DÓNDE?, PUEBLO SU, PROVINCIA SEVILLA O PROVINCIA OTRO.
El primer y principal problema con que se encuentran estos alumnos es la búsqueda de una vivienda.	PRIMER PROBLEMA CUÁL?, PERSONA+ ESTUDIANTE+, PROBLEMA CUÁL?, BUSCAR PISO, CASA, VIVIR DÓNDE?.
El primer problema de los estudiantes es buscar un piso, una casa donde vivir.	PRIMER PROBLEMA CUÁL?, PERSONA+ ESTUDIANTE+, PROBLEMA CUÁL?, BUSCAR PISO, CASA, VIVIR DÓNDE?.
¿Dónde vivir? es la pregunta que a muchos estudiantes no deja dormir alguna que otra noche.	VIVIR DÓNDE? MUCHAS-VECES POR-LA-NOCHE \cl{persona dando vueltas en la cama} PREOCUPAR+ PROBLEMA ESE.
¿Dónde vivir? Muchas veces por la noche no pueden dormir preocupados por ese problema.	VIVIR DÓNDE? MUCHAS-VECES POR-LA-NOCHE \cl{persona dando vueltas en la cama} PREOCUPAR+ PROBLEMA ESE.
Los que tienen más suerte son aquellos que tienen hermanos o amigos que ya viven en Sevilla y que les ayudan a buscar piso.	ALGUNOS SUERTE HAY AMIGO O HERMANO, ETCÉTERA, ESAS PERSONA++ APOYARME PARA BUSCAR PISO.
Algunos tienen suerte y tienen amigos o hermanos que les apoyan para buscar piso.	ALGUNOS SUERTE HAY AMIGO O HERMANO, ETCÉTERA, ESAS PERSONA++ APOYARME PARA BUSCAR PISO.
Pero son muchos los que llegan perdidos y asustados y no saben por dónde empezar a buscar.	PERO, MUCHAS-VECES ALGUNOS ABRIR-PUERTA NO SABER IR DÓNDE MOTIVO BUSCAR ZONA NO SABER DÓNDE.
Pero, muchas veces, algunos no saben por dónde empezar porque no saben buscar la zona.	PERO, MUCHAS-VECES ALGUNOS ABRIR-PUERTA NO SABER IR DÓNDE MOTIVO BUSCAR ZONA NO SABER DÓNDE.
Se les encuentra por todas partes buscando un piso donde vivir el resto del año.	MUCHAS-VECES SEVILLA ZONA BUSCAR+ \cl{se signa en distintos espacios} PARA VIVIR DURANTE-UN-AÑO.
Muchas veces buscan por Sevilla donde vivir durante el año.	MUCHAS-VECES SEVILLA ZONA BUSCAR+ \cl{se signa en distintos espacios} PARA VIVIR DURANTE-UN-AÑO.
A la hora de plantearse vivir fuera de casa, son muchas las alternativas a las que podemos acogernos.	TOCA EMPEZAR CASA VIVIR DENTRO NO, FUERA HAY POSIBILIDAD
Cuando empiezan a vivir fuera de casa hay muchas posibilidades.	TOCA EMPEZAR CASA VIVIR DENTRO NO, FUERA HAY POSIBILIDAD
La más extendida quizá entre los estudiantes, es la de alquilar un piso entre varios amigos.	MAYORÍA USAR+ PERSONA+ ESTUDIANTE+ USAR CUÁL?, ALQUILER+ AMIGO COMPARTIR AMIGO.
La mayoría usa el alquiler compartido con amigos.	MAYORÍA USAR+ PERSONA+ ESTUDIANTE+ USAR CUÁL?, ALQUILER+ AMIGO COMPARTIR AMIGO.
Esta es la solución que prefieren los estudiantes.	ESE, ALQUILER PISO GUSTAR MÁS QUIÉN, PERSONA+ ESTUDIANTE+.
El alquiler de piso le gusta más a los estudiantes.	ESE, ALQUILER PISO GUSTAR MÁS QUIÉN, PERSONA+ ESTUDIANTE+.
Esta opción tiene como ventajas las siguientes:	ESE ALQUILER POSITIVO++ QUÉ?:
El alquiler tiene cosas positivas:	ESE ALQUILER POSITIVO++ QUÉ?:
si se alquila el piso entre varios amigos,	EJEMPLO, PRIMERO AMIGO+ ALQUILER DINERO COMPARTIR,
Por ejemplo, primero, el dinero del alquiler se comparte con los amigos y	EJEMPLO, PRIMERO AMIGO+ ALQUILER DINERO COMPARTIR,
el alojamiento sale más barato.	REBAJAR CASA DINERO REBAJAR.
el precio baja.	REBAJAR DINERO REBAJAR.
los estudiantes tienen libertad para entrar y salir de su casa cuando quieran.	SEGUNDO, PERSONA ESTUDIANTE+ LIBRE PODER ENTRAR, VENIR, COMO-QUIERA, LIBRE.
Segundo, los estudiantes tienen libertad para poder entrar y venir cuando quieran.	SEGUNDO, PERSONA ESTUDIANTE+ LIBRE PODER ENTRAR, VENIR, COMO-QUIERA, LIBRE.
los pisos de alquiler suelen estar cerca de las distintas facultades. Por lo tanto, se ahorran el dinero de tener que coger el autobús.	TERCERO, QUÉ?, ALQUILER+ CERCA UNIVERSIDAD MOTIVO TEMA DINERO+ AUTOBÚS ECONOMÍA AHORRAR++.
Tercero, el alquiler cerca de la universidad para ahorrar el dinero del autobús.	TERCERO, QUÉ?, ALQUILER+ CERCA UNIVERSIDAD MOTIVO TEMA DINERO+ AUTOBÚS ECONOMÍA AHORRAR++.
Por otra parte, hay que tener en cuenta que alquilar un piso también tiene algunos inconvenientes.	CUARTO, TAMBIÉN, ALQUILER PISO, TAMBIÉN COSAS NEGATIVO++ HAY, CUÁL?,
En cuarto lugar, el alquiler también tiene cosas negativas.	CUARTO, TAMBIÉN, ALQUILER PISO, TAMBIÉN COSAS NEGATIVO++ HAY, CUÁL?,
Por ejemplo, el estudiante tiene que hacerse la comida él sólo, lavarse y plancharse su ropa y limpiar el piso.	EJEMPLO, PERSONA ESTUDIANTE+ DEBER COMIDA A-MANO COCINAR+ SOLO COCINAR++, ROPA LAVADORA O FREGAR, ETCÉTERA.
Por ejemplo, los estudiantes deben hacerse su propia comida, deben cocinarse solos, lavar la ropa o fregar, etcétera.	EJEMPLO, PERSONA ESTUDIANTE+ DEBER COMIDA A-MANO COCINAR+ SOLO COCINAR++, ROPA LAVADORA O FREGAR, ETCÉTERA.
Para encontrar piso sólo hace falta los carteles de la universidad. 	TOCA ENCONTRAR PISO SÓLO HACER-FALTA UNIVERSIDAD CARTEL \cl{cartel en la pared} \cl{muchos carteles en las paredes} VER.
porque, cuando llega septiembre, éstas se llenan de anuncios de pisos de distintos precios.	TOCA SEPTIEMBRE, PARED ESPECIAL UNIVERSIDAD ANUNCIO DINERO ETCÉTERA.
Cuando llega septiembre en las paredes de la universidad hay anuncios con el precio, etcétera.	TOCA SEPTIEMBRE, PARED ESPECIAL UNIVERSIDAD ANUNCIO DINERO ETCÉTERA.
Los precios de los alquileres varían dependiendo de la zona en la que esté el piso.	PRECIO ALQUILER DEPENDER QUÉ?, ZONA DEPENDER MOTIVO ALQUILER+ DINERO VARIAR++.
El precio del alquiler depende de la zona porque el dinero de los alquileres varía.	PRECIO ALQUILER DEPENDER QUÉ?, ZONA DEPENDER MOTIVO ALQUILER+ DINERO VARIAR++.
Una solución distinta al piso de alquiler es la residencia universitaria.	OTRO SOLUCIÓN CUÁL?, RESIDENCIA ESPECIAL UNIVERSIDAD.
Otra solución es la residencia universitaria.	OTRO SOLUCIÓN CUÁL?, RESIDENCIA ESPECIAL UNIVERSIDAD.
Esta es la solución que prefieren los padres de los estudiantes. 	ESO RESIDENCIA GUSTAR QUIÉN?, PADRE-MADRE PERSONA ESTUDIANTE+
La residencia le gusta a los padres de los estudiantes	ESO RESIDENCIA GUSTAR QUIÉN?, PADRE-MADRE PERSONA ESTUDIANTE+
Los padres se sienten más tranquilos y relajados con la residencia	PORQUE PADRE-MADRE TRANQUILO, RELAJADO TEMA RESIDENCIA
porque se sienten tranquilos y relajados con la residencia	PORQUE PADRE-MADRE TRANQUILO, RELAJADO TEMA RESIDENCIA
porque piensan que aquí los estudiantes están más controlados y, además, reciben educación y una buena y sana alimentación.	PORQUE PADRE-MADRE PENSAR DENTRO PERSONA ESTUDIANTE+ CONTROL, MÁS EDUCACIÓN ESPECIAL, ADEMÁS COMIDA CALIDAD BUENA.
porque los padres piensan que dentro los estudiantes están controlados, tienen una educación especial y buena calidad en las comidas.	PORQUE PADRE-MADRE PENSAR DENTRO PERSONA ESTUDIANTE+ CONTROL, MÁS EDUCACIÓN ESPECIAL, ADEMÁS COMIDA CALIDAD .
Éstas son algunas de las ventajas de las residencias universitarias, pero otras ventajas son:	ESO ANTES GUIÓN++ POSITIVO++, OTRO RESIDENCIA POSITIVO++ QUÉ?:
Esto son cosas positivas, otras cosas positivas de las residencias son:	ESO ANTES GUIÓN++ POSITIVO++, OTRO RESIDENCIA POSITIVO++ QUÉ?:
existen muchas residencias en Sevilla y de distinto tipo, por ejemplo, las hay femeninas, masculinas y mixtas.	DENTRO SEVILLA CIUDAD RESIDENCIA ETCÉTERA, EJEMPLO, HAY MUJER GRUPO O HOMBRE O MEZCLADO.
Dentro de la ciudad de Sevilla hay distintas residencias, por ejemplo, femeninas, masculinas y mixtas.	DENTRO SEVILLA CIUDAD RESIDENCIA ETCÉTERA, EJEMPLO, HAY MUJER GRUPO O HOMBRE O MEZCLADO.
hay residencias por todas partes 	SEGUNDO, RESIDENCIA \cl{muchas residencias por todas partes} CIUDAD.
Segundo, hay residencias en todas partes de la ciudad. 	SEGUNDO, RESIDENCIA \cl{muchas residencias por todas partes} CIUDAD.
y los estudiantes pueden elegir aquella que esté más cerca de su facultad.	ADEMÁS ESTUDIANTE+ PODER IR CERCA UNIVERSIDAD IR.
Además, los estudiantes pueden ir a la que está cerca de la universidad.	ADEMÁS ESTUDIANTE+ PODER IR CERCA UNIVERSIDAD IR.
